id,time,x,y
planet,10560,1.496e+11,3.14477e+08
dynamic,10560,1.5708e+11,3.0624e+08
planet,10620,1.496e+11,3.16263e+08
dynamic,10620,1.5708e+11,3.0798e+08
planet,10680,1.496e+11,3.1805e+08
dynamic,10680,1.5708e+11,3.0972e+08
planet,10740,1.496e+11,3.19837e+08
dynamic,10740,1.5708e+11,3.1146e+08
planet,10800,1.496e+11,3.21624e+08
dynamic,10800,1.5708e+11,3.132e+08
planet,10860,1.496e+11,3.23411e+08
dynamic,10860,1.5708e+11,3.1494e+08
planet,10920,1.496e+11,3.25197e+08
dynamic,10920,1.5708e+11,3.1668e+08
planet,10980,1.496e+11,3.26984e+08
dynamic,10980,1.5708e+11,3.1842e+08
planet,11040,1.496e+11,3.28771e+08
dynamic,11040,1.5708e+11,3.2016e+08
planet,11100,1.496e+11,3.30558e+08
dynamic,11100,1.5708e+11,3.219e+08
planet,11160,1.496e+11,3.32345e+08
dynamic,11160,1.5708e+11,3.2364e+08
planet,11220,1.496e+11,3.34131e+08
dynamic,11220,1.5708e+11,3.2538e+08
planet,11280,1.496e+11,3.35918e+08
dynamic,11280,1.5708e+11,3.2712e+08
planet,11340,1.496e+11,3.37705e+08
dynamic,11340,1.5708e+11,3.2886e+08
planet,11400,1.496e+11,3.39492e+08
dynamic,11400,1.5708e+11,3.306e+08
planet,11460,1.496e+11,3.41279e+08
dynamic,11460,1.5708e+11,3.3234e+08
planet,11520,1.496e+11,3.43065e+08
dynamic,11520,1.5708e+11,3.3408e+08
planet,11580,1.496e+11,3.44852e+08
dynamic,11580,1.5708e+11,3.3582e+08
planet,11640,1.496e+11,3.46639e+08
dynamic,11640,1.5708e+11,3.3756e+08
planet,11700,1.496e+11,3.48426e+08
dynamic,11700,1.5708e+11,3.393e+08
planet,11760,1.496e+11,3.50212e+08
dynamic,11760,1.5708e+11,3.4104e+08
planet,11820,1.496e+11,3.51999e+08
dynamic,11820,1.5708e+11,3.4278e+08
planet,11880,1.496e+11,3.53786e+08
dynamic,11880,1.5708e+11,3.4452e+08
planet,11940,1.496e+11,3.55573e+08
dynamic,11940,1.5708e+11,3.4626e+08
planet,12000,1.496e+11,3.5736e+08
dynamic,12000,1.5708e+11,3.48e+08
planet,12060,1.496e+11,3.59146e+08
dynamic,12060,1.5708e+11,3.4974e+08
planet,12120,1.496e+11,3.60933e+08
dynamic,12120,1.5708e+11,3.5148e+08
planet,12180,1.496e+11,3.6272e+08
dynamic,12180,1.5708e+11,3.5322e+08
planet,12240,1.496e+11,3.64507e+08
dynamic,12240,1.5708e+11,3.5496e+08
planet,12300,1.496e+11,3.66294e+08
dynamic,12300,1.5708e+11,3.567e+08
planet,12360,1.496e+11,3.6808e+08
dynamic,12360,1.5708e+11,3.5844e+08
planet,12420,1.496e+11,3.69867e+08
dynamic,12420,1.5708e+11,3.6018e+08
planet,12480,1.496e+11,3.71654e+08
dynamic,12480,1.5708e+11,3.6192e+08
planet,12540,1.496e+11,3.73441e+08
dynamic,12540,1.5708e+11,3.6366e+08
planet,12600,1.496e+11,3.75228e+08
dynamic,12600,1.5708e+11,3.654e+08
planet,12660,1.496e+11,3.77014e+08
dynamic,12660,1.5708e+11,3.6714e+08
planet,12720,1.496e+11,3.78801e+08
dynamic,12720,1.5708e+11,3.6888e+08
planet,12780,1.496e+11,3.80588e+08
dynamic,12780,1.5708e+11,3.7062e+08
planet,12840,1.496e+11,3.82375e+08
dynamic,12840,1.5708e+11,3.7236e+08
planet,12900,1.496e+11,3.84162e+08
dynamic,12900,1.5708e+11,3.741e+08
planet,12960,1.49599e+11,3.85948e+08
dynamic,12960,1.5708e+11,3.7584e+08
planet,13020,1.49599e+11,3.87735e+08
dynamic,13020,1.5708e+11,3.7758e+08
planet,13080,1.49599e+11,3.89522e+08
dynamic,13080,1.5708e+11,3.7932e+08
planet,13140,1.49599e+11,3.91309e+08
dynamic,13140,1.5708e+11,3.8106e+08
planet,13200,1.49599e+11,3.93096e+08
dynamic,13200,1.5708e+11,3.828e+08
planet,13260,1.49599e+11,3.94882e+08
dynamic,13260,1.5708e+11,3.8454e+08
planet,13320,1.49599e+11,3.96669e+08
